,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
31,"Caruana, Fabiano","Nakamura, Hikaru",2787,2793,2015.11.15,match (blitz),0-1,B00,4
32,"Caruana, Fabiano","Drasko, Milan",2646,2533,2009.03.08,swiss,1/2-1/2,C18,3
33,"Caruana, Fabiano","Swiercz, Dariusz",2806,2655,2021.08.19,,1-0,B30,3.5
34,"Navara, David","Caruana, Fabiano",2697,2792,2021.12.20,rapid,0-1,E94,4.1
35,"Nakamura, Hikaru","Caruana, Fabiano",2775,2770,2012.06.07,tourn (blitz),1-0,A45,1
36,"Caruana, Fabiano","Le, Quang Liem",2828,2714,2019.02.20,team-swiss (rapid),1/2-1/2,B13,7
37,"Caruana, Fabiano","Nakamura, Hikaru",2808,2785,2017.06.21,tourn (rapid),0-1,D02,3
38,"Nepomniachtchi, Ian","Caruana, Fabiano",2751,2807,2017.08.17,tourn (blitz),1-0,B41,7
39,"Caruana, Fabiano","Alekseev, Evgeny A",2652,2715,2009.11.29,k.o.,1/2-1/2,A62,3.3
40,"Ivanisevic, Ivan","Caruana, Fabiano",2619,2782,2013.11.15,team-swiss,0-1,B23,7.9
41,"Caruana, Fabiano","Carlsen, Magnus",2804,2855,2016.06.12,tourn (blitz),1-0,C54,11
42,"Chandra, Akshat","Caruana, Fabiano",2477,2795,2016.04.25,tourn,0-1,C88,11
43,"Caruana, Fabiano","Nakamura, Hikaru",2803,2799,2015.05.25,tourn,1/2-1/2,B76,10
44,"Svidler, Peter","Caruana, Fabiano",,,2016.08.08,,1/2-1/2,,3
45,"Giri, Anish","Caruana, Fabiano",2714,2727,2012.01.06,tourn,1/2-1/2,A25,10
46,"Caruana, Fabiano","L'Ami, Erwin",2781,2627,2013.01.20,tourn,1-0,B12,8
47,"Vachier Lagrave, Maxime","Caruana, Fabiano",2788,2795,2016.05.10,match (blitz),1/2-1/2,C67,14
48,"Caruana, Fabiano","Xu, Yi",2781,2507,2022.03.29,,1-0,B20,11
49,"Jenni, Florian","Caruana, Fabiano",2550,2620,2008.04.22,swiss,1/2-1/2,B42,2
50,"Nepomniachtchi, Ian","Caruana, Fabiano",2792,2820,2021.05.26,,1/2-1/2,,3.1
51,"Caruana, Fabiano","Ivanchuk, Vassily",2779,2731,2013.09.28,tourn,1-0,C11,6
52,"Carlsen, Magnus","Caruana, Fabiano",2838,2817,2017.04.19,tourn,1/2-1/2,C01,4
53,"Caruana, Fabiano","Duda, Jan Krzysztof",2823,2743,2020.11.15,,0-1,A46,1
54,"Caruana, Fabiano","Vavrak, Peter",2649,2487,2009.05.13,team-tourn,1-0,C06,5
55,"Braun, Arik","Caruana, Fabiano",2536,2598,2008.01.20,tourn,0-1,D18,8
56,"Bluebaum, Matthias","Caruana, Fabiano",2660,2835,2020.09.22,,0-1,D31,1.6
57,"Caruana, Fabiano","Bruno, Fabio",2523,2428,2007.05.21,swiss,1-0,B43,3
58,"Caruana, Fabiano","Dominguez Perez, Leinier",2806,2758,2021.08.12,blitz,1-0,,5.5
59,"Caruana, Fabiano","Hou, Yifan",2802,2652,2017.08.24,k.o. (blitz),1-0,A10,1.25
60,"Caruana, Fabiano","Maghsoodloo, Parham",2792,2701,2022.02.19,rapid,1-0,C78,3
61,"Caruana, Fabiano","Ivanov, Alexander",2474,2587,2006.12.28,swiss,1-0,C03,4
62,"Dominguez Perez, Leinier","Caruana, Fabiano",2739,2811,2018.02.03,,0-1,C54,4
63,"Caruana, Fabiano","Akobian, Varuzhan",2817,2645,2017.03.25,,1-0,C24,4.3
64,"Caruana, Fabiano","Nguyen, Ngoc Truong Son",2697,2617,2010.07.29,k.o. (rapid),1/2-1/2,D12,2.1
65,"Caruana, Fabiano","Svidler, Peter",2711,2739,2011.09.03,k.o.,1/2-1/2,D79,3.1
66,"Caruana, Fabiano","Most, Zdenek",2373,2161,2005.10.24,swiss,1-0,B52,3
67,"Caruana, Fabiano","Cocchi, Andrea",2523,2321,2007.06.17,swiss,1/2-1/2,C66,3
68,"Caruana, Fabiano","Aronian, Levon",2820,2781,2021.06.22,blitz,1/2-1/2,,25.3
69,"Caruana, Fabiano","Gelman, Alexander",2835,2403,2020.08.04,,1-0,A57,2
70,"Kramnik, Vladimir","Caruana, Fabiano",2792,2816,2018.06.24,tourn (rapid),0-1,D04,16
71,"Dominguez Perez, Leinier","Caruana, Fabiano",2719,2652,2009.11.25,k.o.,1/2-1/2,C78,2.2
72,"Aronian, Levon","Caruana, Fabiano",2764,2816,2018.06.24,tourn (rapid),1-0,B42,12
73,"Pelletier, Yannick","Caruana, Fabiano",2585,2682,2012.06.03,team-tourn,1/2-1/2,A34,4.1
74,"Topalov, Veselin","Caruana, Fabiano",2749,2808,2017.06.21,tourn (rapid),1-0,C07,2
75,"Caruana, Fabiano","Xiong, Jeffery",2806,2710,2021.08.11,blitz,1-0,,3.3
76,"Gasimov, Ilgar","Caruana, Fabiano",2761,2736,2012.01.21,,1/2-1/2,C78,7
77,"Caruana, Fabiano","Williams, Alan",2727,2353,2011.11.04,,1-0,C72,2.15
78,"Caruana, Fabiano","Carlsen, Magnus",2783,2881,2014.04.23,tourn,1-0,C67,4
79,"Caruana, Fabiano","Godena, Michele",2727,2548,2011.12.08,tourn,1-0,C78,8
80,"Caruana, Fabiano","Carlsen, Magnus",2835,2863,2020.06.14,,0-1,B30,3.7
81,"Caruana, Fabiano","Grischuk, Alexander",2799,2782,2017.11.11,match (blitz),1-0,C27,5.2
82,"Caruana, Fabiano","Wesley, George",2819,2763,2019.11.06,,1-0,C54,3
83,"Volokitin, Andrei","Caruana, Fabiano",2671,2646,2009.01.17,tourn,1/2-1/2,C68,1
84,"Carlsen, Magnus","Caruana, Fabiano",2821,2711,2011.07.22,swiss,1-0,C45,4
85,"Caruana, Fabiano","Firouzja, Alireza",2842,2726,2020.02.03,,0-1,C65,5
86,"So, Wesley","Caruana, Fabiano",2741,2773,2020.06.11,,1-0,,9.6
87,"Perez Marco, Ricardo","Caruana, Fabiano",2217,2409,2006.03.01,tourn,0-1,C00,1
88,"Caruana, Fabiano","Tariq, A.",2781,2650,2022.04.12,,1-0,B12,7
89,"Caruana, Fabiano","Dominguez Perez, Leinier",2774,2723,2013.06.01,tourn,0-1,B90,9
90,"Caruana, Fabiano","Carlsen, Magnus",2792,2865,2022.01.29,,0-1,B31,12.1
91,"Caruana, Fabiano","Nielsen, Peter Heine",2670,2680,2009.08.29,schev,1/2-1/2,C65,8
92,"Caruana, Fabiano","Kramnik, Vladimir",2675,2788,2010.01.18,tourn,1/2-1/2,C42,3
93,"Caruana, Fabiano","Carlsen, Magnus",2835,2863,2020.06.13,,1/2-1/2,C65,3.2
94,"Pampliega Canturri, Antoni","Caruana, Fabiano",1994,2444,2006.07.08,tourn,0-1,B20,1.23
95,"Ding, Liren","Caruana, Fabiano",2791,2822,2018.05.27,tourn (blitz),0-1,E62,3
96,"Caruana, Fabiano","Rodshtein, Maxim",2727,2645,2011.11.07,team-swiss,1-0,E81,5.1
97,"Caruana, Fabiano","Kramnik, Vladimir",2774,2803,2013.06.19,,1/2-1/2,C67,6
98,"Vocaturo, Daniele","Caruana, Fabiano",2410,2444,2006.08.24,swiss,0-1,D02,6
99,"Caruana, Fabiano","Ding, Liren",2819,2805,2019.07.05,,1/2-1/2,C88,9.3
100,"Nakamura, Hikaru","Caruana, Fabiano",2769,2816,2018.06.16,blitz,0-1,A06,14
101,"Safarli, Eltaj","Caruana, Fabiano",2664,2804,2016.06.01,tourn,1/2-1/2,E12,6
102,"Karjakin, Sergey","Caruana, Fabiano",,,2016.03.28,swiss,1-0,B67,14
103,"Caruana, Fabiano","Dubov, Daniil",2765,2747,2021.11.08,blitz,1-0,,8.2
104,"So, Wesley","Caruana, Fabiano",2770,2804,2016.06.12,tourn (blitz),1-0,D31,12
105,"Deviatkin, Andrei","Caruana, Fabiano",2566,2649,2009.04.04,team-tourn,0-1,B22,1
106,"Caruana, Fabiano","Nepomniachtchi, Ian",2807,2742,2017.08.04,tourn,1/2-1/2,B25,3
107,"So, Wesley","Caruana, Fabiano",2719,2782,2014.01.26,tourn,1/2-1/2,D85,11
108,"Caruana, Fabiano","Makarov, Marat",2716,2520,2011.04.17,team-tourn,1/2-1/2,E00,6
109,"Svidler, Peter","Caruana, Fabiano",2730,2716,2011.04.16,team-tourn,1/2-1/2,D46,5
110,"Paravyan, David","Caruana, Fabiano",2617,2781,2022.03.05,rapid,1/2-1/2,C47,7
111,"Caruana, Fabiano","Kasparov, Garry",2807,2812,2017.08.18,tourn (blitz),0-1,B25,12
112,"Caruana, Fabiano","Cordova, Emilio",2828,2597,2019.01.16,team-swiss (rapid),1-0,B31,2
113,"Harikrishna, Pentala","Caruana, Fabiano",2726,2828,2019.02.24,match (blitz),1-0,C11,15.1
114,"Caruana, Fabiano","Harikrishna, Pentala",2828,2726,2019.02.23,match (blitz),1-0,D31,10.1
115,"Giri, Anish","Caruana, Fabiano",2779,2819,2019.07.29,blitz,1/2-1/2,,7.5
116,"Caruana, Fabiano","Vachier Lagrave, Maxime",2801,2768,2014.08.28,tourn,1-0,B12,2
117,"Caruana, Fabiano","Harikrishna, Pentala",2828,2726,2019.02.21,match (rapid),1-0,C95,8.1
118,"Gonzalez Somoza, Oliver","Caruana, Fabiano",2218,2409,2006.03.03,tourn,1-0,C10,3
119,"Bhatt, V.R.","Caruana, Fabiano",2519,2816,2019.05.02,rapid,0-1,A80,4.1
120,"Quesada Perez, Yuniesky","Caruana, Fabiano",2627,2811,2018.01.31,,0-1,C96,3
121,"Caruana, Fabiano","Grischuk, Alexander",2844,2797,2014.10.12,tourn,0-1,E60,9
122,"Dominguez Perez, Leinier","Caruana, Fabiano",2754,2782,2014.01.15,tourn,1-0,C77,4
123,"Caruana, Fabiano","Atalik, Suat",2594,2599,2007.10.29,team-tourn,1/2-1/2,C92,2.2
124,"Caruana, Fabiano","Svidler, Peter",2697,2734,2010.08.14,schev,1-0,D87,3
125,"Caruana, Fabiano","Topalov, Veselin",2783,2772,2014.06.10,,1/2-1/2,B80,7
126,"Yu, Yangyi","Caruana, Fabiano",2709,2842,2020.09.25,,1/2-1/2,D37,3.3
127,"Dominguez Perez, Leinier","Caruana, Fabiano",2786,2773,2020.05.27,,0-1,,2.10
128,"Caruana, Fabiano","Yifan, Xu",2805,2676,2015.07.04,,1-0,D31,6
129,"Caruana, Fabiano","Mamedyarov, Shakhriyar",2808,2800,2017.06.24,tourn (rapid),1-0,C77,9
130,"Karjakin, Sergey","Caruana, Fabiano",2779,2804,2016.06.04,tourn,1/2-1/2,C83,9
131,"Carlsen, Magnus","Caruana, Fabiano",2855,2804,2016.06.17,tourn (rapid),0-1,C77,4
132,"Kamsky, Gata","Caruana, Fabiano",2658,2781,2022.03.27,rapid,0-1,D00,1.2
133,"Caruana, Fabiano","Carlsen, Magnus",2804,2855,2016.06.20,tourn (blitz),0-1,A11,15.4
134,"Karjakin, Sergey","Caruana, Fabiano",2760,2794,2016.03.28,,1/2-1/2,B67,14
135,"Topalov, Veselin","Caruana, Fabiano",2772,2801,2014.08.27,tourn,0-1,A34,1.2
136,"Chao2, Li","Caruana, Fabiano",2703,2770,2012.05.14,,1/2-1/2,D85,5
137,"Caruana, Fabiano","Harikrishna, Pentala",2828,2726,2019.02.23,match (blitz),1-0,B00,8.1
138,"Sarin, Nihal","Caruana, Fabiano",2652,2800,2021.10.28,,1/2-1/2,,2
139,"Caruana, Fabiano","Duda, Jan Krzysztof",2823,2743,2020.11.15,,0-1,C42,1
140,"Sevian, Samuel","Caruana, Fabiano",2654,2800,2021.10.12,,1-0,C47,6.2
141,"Howell, David W L","Caruana, Fabiano",2640,2782,2013.12.13,,0-1,A14,5.1
142,"Mirzoev, Azer","Caruana, Fabiano",2532,2421,2006.06.15,tourn,1-0,A28,9.3
143,"Pap, Gyula","Caruana, Fabiano",2371,2219,2005.02.15,tourn,1/2-1/2,D85,11
144,"Caruana, Fabiano","Deac, Bogdan Daniel",2820,2627,2021.06.14,,1/2-1/2,,9.5
145,"Caruana, Fabiano","Vachier Lagrave, Maxime",2795,2788,2016.05.10,match (blitz),1/2-1/2,B51,3
146,"Caruana, Fabiano","Agdestein, Simen",2630,2583,2008.08.30,,1-0,B03,10
147,"Caruana, Fabiano","Dominguez Perez, Leinier",2773,2786,2020.06.09,,0-1,,7.3
148,"Caruana, Fabiano","Rombaldoni, Denis",2594,2402,2007.11.26,tourn,1-0,B12,4
149,"Caruana, Fabiano","Rapport, Richard",2721,2531,2011.02.01,swiss,1-0,C68,8
150,"Onischuk, Vladimir","Caruana, Fabiano",2633,2835,2020.07.07,,1/2-1/2,C42,6
151,"Caruana, Fabiano","Rhein, Klaus",2474,2082,2006.10.20,,1-0,B48,1
152,"Brunello, Sabino","Caruana, Fabiano",2489,2594,2007.11.27,tourn,1-0,D66,5
153,"Caruana, Fabiano","Carlsen, Magnus",2820,2862,2015.01.16,tourn,0-1,B31,6
154,"Kramnik, Vladimir","Caruana, Fabiano",2812,2804,2016.06.19,tourn (blitz),1-0,E61,8
155,"Caruana, Fabiano","Nyback, Tomi",2782,2586,2013.11.08,team-swiss,1-0,C88,1.13
156,"Duda, Jan Krzysztof","Caruana, Fabiano",2743,2823,2020.11.15,schev,1-0,C11,1.17
157,"Caruana, Fabiano","Carlsen, Magnus",2828,2863,2020.10.12,,1/2-1/2,,13.1
158,"Caruana, Fabiano","Grischuk, Alexander",2787,2750,2015.12.08,swiss,1/2-1/2,C65,5
159,"Rodriguez Lopez, Rafael","Caruana, Fabiano",2289,2474,2006.10.23,,1/2-1/2,E11,4
160,"Caruana, Fabiano","Carlsen, Magnus",2832,2835,2018.11.26,match (rapid),1/2-1/2,B33,12
161,"Caruana, Fabiano","Grischuk, Alexander",2799,2782,2017.11.10,match (rapid),0-1,C48,5.2
162,"Caruana, Fabiano","Stupak, Kirill",2835,2520,2020.07.07,,1-0,C15,4
163,"Caruana, Fabiano","Nitin, Senthilvel",2792,2427,2022.02.01,,1-0,E70,4
164,"Kramnik, Vladimir","Caruana, Fabiano",2803,2774,2013.06.12,tourn (blitz),1-0,A04,6
165,"Caruana, Fabiano","Zaibi, Amir",,,2015.09.11,k.o.,1-0,D15,1.3
166,"Caruana, Fabiano","Vachier Lagrave, Maxime",2709,2703,2010.11.17,,0-1,C41,25.10
167,"Caruana, Fabiano","Gozzoli, Yannick",2716,2543,2011.03.25,game,1/2-1/2,A26,4
168,"Caruana, Fabiano","Bortnyk, Olexandr",2781,2604,2022.03.29,,1-0,A10,11
169,"Caruana, Fabiano","Salvador, Roland",2680,2483,2010.05.01,team,1-0,B43,5
170,"Caruana, Fabiano","Rapport, Richard",2792,2763,2021.12.23,,1-0,A40,1
171,"Caruana, Fabiano","Anand, Viswanathan",2816,2759,2018.06.15,blitz,0-1,E46,1
172,"Caruana, Fabiano","Kveinys, Aloyzas",2640,2533,2008.11.23,,1-0,B42,10
173,"Bosiocic, Marin","Caruana, Fabiano",2474,2492,2007.03.12,,1/2-1/2,E10,9
174,"Nakamura, Hikaru","Caruana, Fabiano",2779,2823,2016.11.14,tourn (blitz),0-1,D12,5
175,"Caruana, Fabiano","Vachier Lagrave, Maxime",2817,2803,2017.04.20,tourn,1/2-1/2,B96,5
176,"Caruana, Fabiano","Anand, Viswanathan",2773,2780,2012.09.26,tourn,1/2-1/2,B52,3
177,"Nakamura, Hikaru","Caruana, Fabiano",2777,2822,2018.08.14,tourn (rapid),1/2-1/2,A06,3
178,"Nepomniachtchi, Ian","Caruana, Fabiano",2792,2820,2021.05.27,,1/2-1/2,,6.1
179,"Caruana, Fabiano","Carlsen, Magnus",2811,2865,2015.02.08,tourn,1/2-1/2,C67,6
180,"Caruana, Fabiano","Nakamura, Hikaru",2787,2793,2015.11.15,match (blitz),1-0,A40,6
181,"Granda Zuniga, Julio E","Caruana, Fabiano",2588,2598,2008.04.08,tourn,1/2-1/2,D11,4
182,"Caruana, Fabiano","Aronian, Levon",2817,2774,2017.04.22,tourn,1/2-1/2,C50,7
183,"Dominguez Perez, Leinier","Caruana, Fabiano",2739,2822,2018.08.14,tourn (rapid),0-1,E08,9
184,"Aronian, Levon","Caruana, Fabiano",2812,2782,2014.01.12,tourn,1-0,A34,2
185,"Riff, Jn","Caruana, Fabiano",2515,2675,2010.08.28,,1/2-1/2,B43,6.2
186,"Yu, Yangyi","Caruana, Fabiano",2738,2819,2019.06.09,,1/2-1/2,E04,5.3
187,"Karjakin, Sergey","Caruana, Fabiano",,,2016.03.28,swiss,1-0,,14
188,"Nielsen, Peter Heine","Caruana, Fabiano",2700,2697,2010.08.13,schev,1/2-1/2,A29,2
189,"Aronian, Levon","Caruana, Fabiano",2764,2816,2018.06.22,tourn (rapid),0-1,C24,8
190,"Smeets, Jan","Caruana, Fabiano",2657,2675,2010.01.26,tourn,1-0,B41,9
191,"Giri, Anish","Caruana, Fabiano",2782,2804,2016.06.20,tourn (blitz),1/2-1/2,C54,10
192,"Jakab, Attila","Caruana, Fabiano",2390,2140,2004.06.11,,1-0,D03,7
193,"Eljanov, Pavel","Caruana, Fabiano",2723,2791,2014.06.20,swiss (blitz),1-0,A40,20
194,"Jakab, Attila","Caruana, Fabiano",2448,2255,2005.04.07,,1-0,D91,6
195,"Anand, Viswanathan","Caruana, Fabiano",2767,2819,2019.07.04,,1/2-1/2,,8.4
196,"Caruana, Fabiano","Aronian, Levon",2822,2767,2018.07.24,,0-1,E46,1.9
197,"Caruana, Fabiano","Alavi, S.m",2792,2446,2022.03.01,,1-0,B10,6
198,"Caruana, Fabiano","Rapport, Richard",2792,2763,2022.01.26,,0-1,A19,10.5
199,"Caruana, Fabiano","Rapport, Richard",2806,2763,2021.08.13,blitz,0-1,,7.2
200,"Antipov, Mikhail Al","Caruana, Fabiano",2587,2803,2021.12.29,blitz,1-0,,7
201,"Caruana, Fabiano","So, W.",2791,2772,2021.12.09,,1/2-1/2,C65,2.14
202,"Onischuk, Alexander","Caruana, Fabiano",2669,2712,2011.10.13,tourn,1/2-1/2,D97,9
203,"Caruana, Fabiano","Duda, Jan Krzysztof",2823,2743,2020.11.15,,1-0,B80,1
204,"Caruana, Fabiano","Bocharov, Dmitry",2716,2595,2011.04.12,team-tourn,1-0,C41,1
205,"Caruana, Fabiano","Topalov, Veselin",2823,2760,2016.11.14,tourn (blitz),1-0,C77,4
206,"Caruana, Fabiano","Harikrishna, Pentala",2828,2726,2019.02.24,match (blitz),0-1,E46,16.1
207,"Caruana, Fabiano","Adams, Michael",,,2013.02.16,,0-1,E00,9
208,"Caruana, Fabiano","Mamedyarov, Shakhriyar",2804,2748,2016.06.03,tourn,0-1,B33,8
209,"Caruana, Fabiano","Yudasin, Leonid",2169,2556,2004.10.05,,1/2-1/2,B53,1
210,"Caruana, Fabiano","Kryvoruchko, Yuriy",2712,2666,2011.09.27,team-swiss,1/2-1/2,E15,3
211,"Rapport, Richard","Caruana, Fabiano",2763,2792,2021.12.19,rapid,0-1,C42,3.3
212,"Caruana, Fabiano","Giri, Anish",2822,2776,2019.11.10,blitz,1/2-1/2,B23,13.1
213,"Caruana, Fabiano","Nepomniachtchi, Ian",2820,2792,2021.05.27,,1/2-1/2,,7.1
214,"Ivanchuk, Vassily","Caruana, Fabiano",2775,2727,2012.01.04,,0-1,A48,8
215,"Caruana, Fabiano","Duda, Jan Krzysztof",2822,2758,2020.01.25,,1-0,E06,12.5
216,"Nakamura, Hikaru","Caruana, Fabiano",2736,2822,2020.01.06,,0-1,C28,1
217,"Yifan, Xu","Caruana, Fabiano",2603,2781,2013.01.19,tourn,1/2-1/2,B42,7.5
218,"Caruana, Fabiano","Mac Intyre, Paul",2140,2262,2004.04.11,,0-1,C50,8
219,"Ponomariov, Ruslan","Caruana, Fabiano",2706,2810,2016.07.17,swiss,1/2-1/2,A32,7
220,"Hammer, Jon Ludvig","Caruana, Fabiano",2628,2827,2017.02.11,,1/2-1/2,D37,5
221,"Caruana, Fabiano","Aguilar, Gatto",2026,,2002.05.28,swiss,1/2-1/2,B85,5
222,"Coleto Calderon, Jose Antonio","Caruana, Fabiano",2128,2444,2006.09.20,swiss,0-1,B40,3
223,"Alekseev, Evgeny","Caruana, Fabiano",2715,2652,2009.11.29,,1/2-1/2,,34
224,"Caruana, Fabiano","Izoria, Zviad",2804,2599,2018.04.21,,0-1,C53,4.1
225,"Caruana, Fabiano","Ljubojevic, Ljubomir",2630,2555,2008.08.23,team-schev,1/2-1/2,B85,4
226,"Caruana, Fabiano","Laznicka, Viktor",2714,2681,2011.06.26,tourn,1/2-1/2,B12,5
227,"Reinderman, Dimitri","Caruana, Fabiano",2549,2646,2009.01.31,tourn,1/2-1/2,A25,12
228,"So, W.","Caruana, Fabiano",2772,2791,2021.12.09,,0-1,B30,2.22
229,"Gashimov, Vugar","Caruana, Fabiano",2758,2652,2009.11.30,,1/2-1/2,C80,4.1
230,"Caruana, Fabiano","Strikovic, Aleksa",2474,2535,2006.10.22,,0-1,B43,3
231,"Berndt, Stephan","Caruana, Fabiano",2442,2662,2010.02.06,team-tourn,0-1,B42,8.6
232,"Harikrishna, Pentala","Caruana, Fabiano",2752,2808,2016.09.09,,1/2-1/2,C80,7.1
233,"Caruana, Fabiano","So, W.",2816,2778,2018.06.24,blitz,1/2-1/2,C24,?
234,"Caruana, Fabiano","Perez Candelario, Manuel",2675,2527,2010.06.16,tourn,0-1,E04,5
235,"Navara, David","Caruana, Fabiano",2737,2807,2017.08.17,tourn (blitz),0-1,A20,5
236,"Al Tarbosh, W.","Caruana, Fabiano",2213,2781,2022.03.08,,0-1,B90,6
237,"Grischuk, Alexander","Caruana, Fabiano",2792,2791,2014.06.19,swiss (blitz),0-1,C02,10
238,"Caruana, Fabiano","Nisipeanu, Liviu Dieter",2779,2674,2013.10.12,tourn,1/2-1/2,E08,6
239,"Caruana, Fabiano","Vachier Lagrave, Maxime",2795,2788,2016.05.10,match (blitz),1/2-1/2,B52,21
240,"Grischuk, Alexander","Caruana, Fabiano",2761,2770,2012.06.13,swiss,1/2-1/2,,?
241,"Sakelsek, Tadej","Caruana, Fabiano",2487,2523,2007.05.16,team-tourn,1/2-1/2,B42,9
242,"Caruana, Fabiano","DeMoore, Scott T",1575,1706,2000.11.27,swiss,0-1,B08,7
243,"Caruana, Fabiano","Vachier Lagrave, Maxime",2807,2819,2016.08.09,,1/2-1/2,B56,5
244,"Caruana, Fabiano","Nakamura, Hikaru",2823,2779,2016.11.13,tourn (rapid),0-1,C54,2
245,"Moiseenko, Alexander","Caruana, Fabiano",2707,2791,2014.06.16,swiss (rapid),0-1,B07,4
246,"Caruana, Fabiano","Paravyan, David",2781,2617,2022.03.26,rapid,1/2-1/2,A05,9
247,"Bareev, Evgeny","Caruana, Fabiano",2655,2630,2008.08.22,team-schev,1/2-1/2,D46,3
248,"Bruno, Fabio","Caruana, Fabiano",2452,2640,2008.12.03,tourn,0-1,A13,1
249,"Caruana, Fabiano","Vachier Lagrave, Maxime",2791,2766,2021.11.29,,0-1,C11,1.26
250,"Godena, Michele","Caruana, Fabiano",2548,2697,2011.01.06,tourn,1/2-1/2,B08,9
251,"Caruana, Fabiano","Aronian, Levon",,,2018.04.08,,1/2-1/2,C67,8
252,"Caruana, Fabiano","Ding, Liren",2773,2836,2020.04.21,,1-0,,4.4
253,"Caruana, Fabiano","Munoz Ovelar, Miguel Angel",2444,2473,2006.07.06,swiss,1-0,B01,5
254,"Caruana, Fabiano","So, Wesley",2816,2778,2018.06.12,blitz,0-1,C78,1
255,"Caruana, Fabiano","Sjugirov, Sanan",2792,2680,2022.02.12,rapid,1/2-1/2,C79,4
256,"Caruana, Fabiano","Shabalov, Alexander",2817,2556,2017.04.08,tourn,1-0,B72,10
257,"Duda, Jan Krzysztof","Caruana, Fabiano",2799,2711,2020.11.15,match,1-0,,3.8
258,"Caruana, Fabiano","Papaioannou, Ioannis",2773,2606,2012.09.09,team-swiss,1-0,A61,11.1
259,"Caruana, Fabiano","Oganian, Miran",2781,2437,2022.03.29,,0-1,A40,5
260,"Caruana, Fabiano","Flueckiger, Christian",2675,2324,2010.11.07,team-tourn,1-0,B08,9.1
261,"Caruana, Fabiano","Wesley, George",2828,2762,2019.03.28,,1/2-1/2,E04,8
262,"Caruana, Fabiano","Indjic, Aleksandar",2808,2558,2015.10.11,,1-0,B05,7.6
